"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2132700000"," -79,6","   6,5"," -95,8"," -64,5","136",
"8/8/2021  20:10:00,000","  2132800000"," -78,5","   7,0","-116,0"," -64,9","136",
"8/8/2021  20:10:00,000","  2132900000"," -78,8","   7,3","-101,5"," -64,2","136",
"8/8/2021  20:10:00,000","  2133000000"," -78,7","   7,3","-103,8"," -61,4","136",
"8/8/2021  20:10:00,000","  2133100000"," -78,7","   7,3","-101,8"," -61,8","136",
"8/8/2021  20:10:00,000","  2133200000"," -79,0","   7,4","-101,2"," -61,4","136",
"8/8/2021  20:10:00,000","  2133300000"," -79,2","   7,1","-103,2"," -65,0","136",
"8/8/2021  20:10:00,000","  2133400000"," -78,0","   6,0"," -93,9"," -65,4","136",
"8/8/2021  20:10:00,000","  2133500000"," -78,6","   7,6","-104,2"," -63,7","136",
"8/8/2021  20:10:00,000","  2133600000"," -78,6","   6,7"," -97,7"," -62,6","136",
"8/8/2021  20:10:00,000","  2133700000"," -79,3","   7,7"," -99,5"," -62,0","136",
"8/8/2021  20:10:00,000","  2133800000"," -79,3","   8,0","-110,2"," -61,8","136",
"8/8/2021  20:10:00,000","  2133900000"," -79,5","   8,2","-107,7"," -64,4","136",
"8/8/2021  20:10:00,000","  2134000000"," -79,2","   7,6","-113,7"," -65,0","136",
"8/8/2021  20:10:00,000","  2134100000"," -78,5","   6,5","-101,5"," -63,3","136",
"8/8/2021  20:10:00,000","  2134200000"," -79,0","   6,8"," -97,4"," -64,2","136",
"8/8/2021  20:10:00,000","  2134300000"," -79,9","   6,7"," -94,5"," -64,0","136",
"8/8/2021  20:10:00,000","  2134400000"," -81,3","   6,9","-102,3"," -66,6","136",
"8/8/2021  20:10:00,000","  2134500000"," -83,0","   8,0","-114,0"," -69,5","136",
"8/8/2021  20:10:00,000","  2134600000"," -83,8","   7,3","-102,0"," -68,4","136",
"8/8/2021  20:10:00,000","  2134700000"," -86,7","   7,3","-107,8"," -69,7","136",
"8/8/2021  20:10:00,000","  2134800000"," -92,1","   8,0","-124,3"," -76,4","136",
"8/8/2021  20:10:00,000","  2134900000","-100,7","   7,4","-125,7"," -87,1","136",
"8/8/2021  20:10:00,000","  2135000000","-110,1","   5,1","-127,9"," -99,2","136",
"8/8/2021  20:10:00,000","  2135100000","-112,7","   5,4","-133,3","-100,7","136",
"8/8/2021  20:10:00,000","  2135200000","-111,8","   4,9","-127,3","-103,7","136",
"8/8/2021  20:10:00,000","  2135300000","-111,7","   5,0","-128,2","-102,4","136",
"8/8/2021  20:10:00,000","  2135400000","-111,0","   5,4","-128,6","-100,6","136",
"8/8/2021  20:10:00,000","  2135500000","-109,7","   4,7","-128,2","-100,5","136",
"8/8/2021  20:10:00,000","  2135600000","-109,2","   4,9","-123,0","-100,7","136",
"8/8/2021  20:10:00,000","  2135700000","-109,4","   7,1","-141,4"," -97,8","136",
"8/8/2021  20:10:00,000","  2135800000","-108,0","   6,2","-131,9"," -96,1","136",
"8/8/2021  20:10:00,000","  2135900000","-108,0","   7,0","-131,8"," -97,0","136",
"8/8/2021  20:10:00,000","  2136000000","-108,3","   6,0","-125,8"," -96,0","136",
"8/8/2021  20:10:00,000","  2136100000","-108,6","   5,3","-124,4"," -96,1","136",
"8/8/2021  20:10:00,000","  2136200000","-108,7","   6,0","-128,5"," -97,2","136",
"8/8/2021  20:10:00,000","  2136300000","-107,5","   5,1","-124,8"," -96,0","136",
"8/8/2021  20:10:00,000","  2136400000","-108,1","   5,9","-133,0"," -98,5","136",
"8/8/2021  20:10:00,000","  2136500000","-109,2","   5,9","-128,0"," -98,4","136",
"8/8/2021  20:10:00,000","  2136600000","-109,5","   5,2","-132,0"," -98,9","136",
"8/8/2021  20:10:00,000","  2136700000","-108,9","   5,9","-132,8"," -96,9","136",
"8/8/2021  20:10:00,000","  2136800000","-107,9","   6,2","-129,3"," -96,6","136",
"8/8/2021  20:10:00,000","  2136900000","-109,0","   6,1","-128,9"," -96,3","136",
"8/8/2021  20:10:00,000","  2137000000","-109,5","   6,2","-130,4"," -96,8","136",
"8/8/2021  20:10:00,000","  2137100000","-109,2","   5,8","-126,0"," -98,9","136",
"8/8/2021  20:10:00,000","  2137200000","-109,1","   6,4","-133,1"," -99,2","136",
"8/8/2021  20:10:00,000","  2137300000","-108,4","   6,4","-129,0"," -97,5","136",
"8/8/2021  20:10:00,000","  2137400000","-108,3","   6,0","-133,3"," -97,3","136",
"8/8/2021  20:10:00,000","  2137500000","-109,6","   5,2","-123,6"," -99,2","136",
"8/8/2021  20:10:00,000","  2137600000","-110,3","   5,5","-127,1"," -99,0","136",
"8/8/2021  20:10:00,000","  2137700000","-109,4","   5,6","-132,8"," -99,2","136",
"8/8/2021  20:10:00,000","  2137800000","-109,3","   6,5","-140,0"," -99,6","136",
"8/8/2021  20:10:00,000","  2137900000","-109,9","   6,2","-143,0"," -99,4","136",
